Localidad,Latitud,Longitud,Region,Provincia,Comuna,Superficie
Laguna Blanca,-52.4270382,-71.4141605,Magallanes y de la Antártica Chilena,Magallanes,Laguna Blanca,3568.08
Laja,-37.2795106,-72.7149212,Biobío,Biobío,Laja,345.06
Lampa,-33.2895953,-70.8705255,Metropolitana de Santiago,Chacabuco,Lampa,449.54
Lanco,-39.4522225,-72.7754222,Los Ríos,Valdivia,Lanco,532.92
Las Cabras,-34.2670234,-70.793581,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,677.26
Las Condes,-33.4084548,-70.5671489,Metropolitana de Santiago,Santiago,Las Condes,99.09
Las Lozas,-25.8927223,-70.6408562,Antofagasta,Antofagasta,Taltal,20424.16
Lautaro,-38.534312,-72.4350504,La Araucanía,Cautín,Lautaro,905.76
Lebu,-37.6102279,-73.656055,Biobío,Arauco,Lebu,564.58
Licantén,-34.9856892,-71.9845873,Maule,Curicó,Licantén,272.74
Limache,-33.0018741,-71.2657315,Valparaíso,Marga Marga,Limache,294.78
Linares,-35.8452905,-71.5977173,Maule,Linares,Linares,1466.18
Litueche,-34.1154229,-71.7296864,Libertador General Bernardo O'Higgins,Cardenal Caro,Litueche,619.42
Llaillay,-32.8429976,-70.9524687,Valparaíso,San Felipe de Aconcagua,Llaillay,348.85
Llanquihue,-41.2575704,-73.0047428,Los Lagos,Llanquihue,Llanquihue,433.1
Llay Llay,-32.8429976,-70.9524687,Valparaíso,San Felipe de Aconcagua,Llaillay,348.85
Llico,-37.1981493,-73.5648656,Biobío,Arauco,Arauco,959.9
Lo Barnechea,-33.2942878,-70.3904841,Metropolitana de Santiago,Santiago,Lo Barnechea,1024.02
Lolol,-34.727836,-71.6440839,Libertador General Bernardo O'Higgins,Colchagua,Lolol,596.69
Loncoche,-39.370616,-72.6300704,La Araucanía,Cautín,Loncoche,971.01
Los Álamos,-37.6271305,-73.4618419,Biobío,Arauco,Los Alamos,600.54
Los Andes,-32.8336867,-70.5981609,Valparaíso,Los Andes,Los Andes,1234.59
Los Ándes,-32.8336867,-70.5981609,Valparaíso,Los Andes,Los Andes,1234.59
Los Ángeles,-37.4707455,-72.351686,Biobío,Biobío,Los Angeles,1748.01
Los Lagos,-42.300844,-73.105387,Los Lagos,Chiloé,Quemchi,438.46
Los Loros,-32.8600689,-70.8954835,Valparaíso,San Felipe de Aconcagua,Llaillay,348.85
Los Muermos,-41.3960568,-73.4617177,Los Lagos,Llanquihue,Los Muermos,1230.18
Los Sauces,-37.9829562,-72.8291829,La Araucanía,Malleco,Los Sauces,847.97
Los Vilos,-31.9121725,-71.5138659,Coquimbo,Choapa,Los Vilos,1858.8
Lota,-37.0944533,-73.1564024,Biobío,Concepción,Lota,114.71
Lumaco,-38.1653241,-72.9063975,La Araucanía,Malleco,Lumaco,1110.06
Machalí,-34.182453,-70.6511584,Libertador General Bernardo O'Higgins,Cachapoal,Machalí,2594.25
Macul,-33.4821635,-70.5991929,Metropolitana de Santiago,Santiago,Macul,12.81
Máfil,-39.6659792,-72.9521276,Los Ríos,Valdivia,Máfil,579.13
Maipu,-33.5094409,-70.756182,Metropolitana de Santiago,Santiago,Maipú,136.81
Malloa,-34.4421408,-70.9440652,Libertador General Bernardo O'Higgins,Cachapoal,Malloa,220.61
Mamiña,-20.0720391,-69.2169753,Tarapacá,Tamarugal,Pozo Almonte,13775.46
Marchigüe,-34.400088,-71.6182815,Libertador General Bernardo O'Higgins,Cardenal Caro,Marchihue,657.58
María Elena,-22.3451485,-69.6618035,Antofagasta,Tocopilla,María Elena,12339.14
María Pinto,-33.5159823,-71.1200324,Metropolitana de Santiago,Melipilla,María Pinto,394.2
Mariquina,-39.4971612,-73.0420738,Los Ríos,Valdivia,Mariquina,1319.33
Maule,-35.5972284,-71.48868,Maule,Talca,San Clemente,4501.05
Maullín,-41.6160139,-73.5950711,Los Lagos,Llanquihue,Maullín,823.3
Mehuín,-39.4426544,-73.2129689,Los Ríos,Valdivia,Mariquina,1319.33
Mejillones,-23.1002342,-70.4483076,Antofagasta,Antofagasta,Mejillones,3577.59
Melinka,-43.8975173,-73.7463997,Aysén del General Carlos Ibáñez del Campo,Aisén,Guaitecas,631.74
Melipeuco,-38.8532381,-71.6950139,La Araucanía,Cautín,Melipeuco,1106.75
Melipilla,-33.6855134,-71.2145796,Metropolitana de Santiago,Melipilla,Melipilla,1352.35
Molina,-35.1139703,-71.2799798,Maule,Curicó,Molina,1517.39
Monte Patria,-30.6944769,-70.9579593,Coquimbo,Limarí,Monte Patria,4212.32
Mostazal,-33.9468526,-70.5981024,Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,525.89
Mulchén,-37.7200873,-72.2441318,Biobío,Biobío,Mulchén,1920.67
Nacimiento,-37.5018293,-72.67311,Biobío,Biobío,Nacimiento,904.42
Nancagua,-34.6527427,-71.1953819,Libertador General Bernardo O'Higgins,Colchagua,Nancagua,151.66
Natales,-51.7295251,-72.4738605,Magallanes y de la Antártica Chilena,Última Esperanza,Natales,48968.17
Navidad,-33.9536044,-71.8305775,Libertador General Bernardo O'Higgins,Cardenal Caro,Navidad,301.1
Negrete,-37.5856678,-72.5292643,Biobío,Biobío,Negrete,155.28
Ninhue,-36.3935896,-72.3976432,Ñuble,Itata,Ninhue,402.98
Nogales,-32.736381,-71.2002438,Valparaíso,Quillota,Nogales,405.41
Nueva Imperial,-38.7453101,-72.9519984,La Araucanía,Cautín,Nueva Imperial,730.76
Ñuñoa,-33.4543164,-70.5936358,Metropolitana de Santiago,Santiago,Ñuñoa,16.9
Olivar,-34.2094366,-70.8172288,Libertador General Bernardo O'Higgins,Cachapoal,Olivar,44.23
Ollagüe,-21.2240535,-68.2535085,Antofagasta,El Loa,Ollagüe,2927.64
Olmué,-32.9956184,-71.186211,Valparaíso,Marga Marga,Olmué,231.28
Osorno,-40.5736955,-73.1358091,Los Lagos,Osorno,Osorno,954.71
Ovalle,-30.6030819,-71.2029894,Coquimbo,Limarí,Ovalle,3549.11
Padre Hurtado,-33.5673051,-70.8020467,Metropolitana de Santiago,Talagante,Padre Hurtado,80.69
Padre Las Casas,-38.7674245,-72.5956312,La Araucanía,Cautín,Padre Las Casas,463.68
Paihuano,-30.0290417,-70.5164414,Coquimbo,Elqui,Paiguano,1514.19
Paillaco,-40.0706633,-72.8726695,Los Ríos,Valdivia,Paillaco,901.54
Paine,-33.8101102,-70.7390236,Metropolitana de Santiago,Maipo,Paine,677.62
Palena,-43.6178268,-71.8039587,Los Lagos,Palena,Palena,2654.23
Palmilla,-34.5960542,-71.3624782,Libertador General Bernardo O'Higgins,Colchagua,Palmilla,235.59
Panguipulli,-39.6419909,-72.3333801,Los Ríos,Valdivia,Panguipulli,3294.61
Papudo,-32.50759,-71.4459354,Valparaíso,Petorca,Papudo,166.14
Paredones,-34.6476395,-71.9008463,Libertador General Bernardo O'Higgins,Cardenal Caro,Paredones,572.5
Parral,-36.1414293,-71.8222221,Maule,Linares,Parral,1637.96
Pelarco,-35.3836634,-71.4469824,Maule,Talca,Pelarco,330.87
Pelluhue,-35.8150199,-72.576959,Maule,Cauquenes,Pelluhue,369.36
Pencahue,-35.3961663,-71.7993745,Maule,Talca,Pencahue,955.13
Penco,-36.7385838,-72.9937749,Biobío,Concepción,Penco,108.37
Peñaflor,-33.6058638,-70.8785306,Metropolitana de Santiago,Talagante,Peñaflor,69.49
Peñalolén,-33.4765918,-70.5418308,Metropolitana de Santiago,Santiago,Peñalolén,53.9
Peralillo,-34.4780273,-71.4793203,Libertador General Bernardo O'Higgins,Colchagua,Peralillo,282.97
Perquenco,-38.4212493,-72.3778344,La Araucanía,Cautín,Perquenco,330.89
Petorca,-32.251699,-70.9309103,Valparaíso,Petorca,Petorca,1515.78
Peumo,-34.3959163,-71.1694264,Libertador General Bernardo O'Higgins,Cachapoal,Peumo,155.17
Pica,-20.4911417,-69.3290752,Tarapacá,Tamarugal,Pica,8989.52
Pichidangui,-32.1396358,-71.5271605,Coquimbo,Choapa,Los Vilos,1858.8
Pichidegua,-34.3584097,-71.282715,Libertador General Bernardo O'Higgins,Cachapoal,Pichidegua,319.4
Pichilemu,-34.3851693,-72.0046606,Libertador General Bernardo O'Higgins,Cardenal Caro,Pichilemu,714.76
Pisagua,-19.5972044,-70.2132743,Tarapacá,Tamarugal,Huara,10479.18
Pitrufquén,-38.9862884,-72.63725,La Araucanía,Cautín,Pitrufquén,583.13
Placilla,-34.6385927,-71.1173651,Libertador General Bernardo O'Higgins,Colchagua,Placilla,144.27
Poconchile,-18.4519077,-70.066753,Arica y Parinacota,Arica,Arica,4802.22
Portezuelo,-36.5274395,-72.4285292,Ñuble,Itata,Portezuelo,289.1
Potrerillos,-32.6856368,-71.3872879,Valparaíso,Valparaíso,Puchuncaví,299.35
Pozo Almonte,-20.2597061,-69.7861372,Tarapacá,Tamarugal,Pozo Almonte,13775.46
Puchuncaví,-32.7259856,-71.4150065,Valparaíso,Valparaíso,Puchuncaví,299.35
Pucón,-39.2731173,-71.9777605,La Araucanía,Cautín,Pucón,1247.27
Pudahuel,-33.4193729,-70.8633561,Metropolitana de Santiago,Santiago,Pudahuel,198.58
Puente Negro,-34.6860235,-70.8723926,Libertador General Bernardo O'Higgins,Colchagua,San Fernando,2321.84
Puerto Aguirre,-45.1641639,-73.522341,Aysén del General Carlos Ibáñez del Campo,Aisén,Aisén,29891.62
Puerto Aysén,-45.4068167,-72.6976787,Aysén del General Carlos Ibáñez del Campo,Aisén,Aisén,29891.62
Puerto Cisnes,-44.7272567,-72.680463,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,15421.24
Puerto Guadal,-46.8445724,-72.7042872,Aysén del General Carlos Ibáñez del Campo,General Carrera,Chile Chico,5736.72
Puerto Montt,-41.471798,-72.9395915,Los Lagos,Llanquihue,Puerto Montt,1670.27
Puerto Natales,-51.7262003,-72.5059982,Magallanes y de la Antártica Chilena,Última Esperanza,Natales,48968.17
Puerto Octay,-40.97276,-72.8842171,Los Lagos,Osorno,Puerto Octay,1793.4
Puerto Raul Marin Balmaceda,-43.7771432,-72.9521283,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,15421.24
Puerto Saavedra,-38.7923166,-73.3968651,La Araucanía,Cautín,Saavedra,398.45
Puerto Varas,-41.317802,-72.9829073,Los Lagos,Llanquihue,Puerto Varas,4027.15
Puerto Williams,-54.9357749,-67.6062504,Magallanes y de la Antártica Chilena,Antártica Chilena,Cabo de Hornos,15729.96
Pumanque,-34.6048141,-71.654681,Libertador General Bernardo O'Higgins,Colchagua,Pumanque,441.05
Punitaqui,-30.8337532,-71.2573637,Coquimbo,Limarí,Punitaqui,1091.95
Punta Arenas,-53.1625688,-70.907822,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,17766.77
Punta de Choros,-29.247073,-71.4616231,Coquimbo,Elqui,La Higuera,4165.53
Puqueldón,-42.5992585,-73.6762714,Los Lagos,Chiloé,Puqueldón,96.63
Purén,-38.0332836,-73.0725938,La Araucanía,Malleco,Purén,463.99
Putaendo,-32.6260768,-70.7167642,Valparaíso,San Felipe de Aconcagua,Putaendo,1451.58
Putre,-18.1963825,-69.5592242,Arica y Parinacota,Parinacota,Putre,5889.8
Puyuhuapi,-44.3252094,-72.5584277,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,15421.24
Quebrada Blanca,-22.9604439,-67.0520366,Antofagasta,El Loa,San Pedro de Atacama,23612.8
Queilén,-42.8898582,-73.472062,Los Lagos,Chiloé,Queilén,331.04
Quellón,-43.1200305,-73.6203025,Los Lagos,Chiloé,Quellón,3362.4
Quemchi,-42.1445307,-73.4735593,Los Lagos,Chiloé,Quemchi,438.46
Queule,-39.3982606,-73.2104351,La Araucanía,Cautín,Toltén,851.89
Quilaco,-37.6841271,-72.0054893,Biobío,Biobío,Quilaco,1123.97
Quilicura,-33.3600426,-70.7118564,Metropolitana de Santiago,Santiago,Quilicura,57.33
Quillagua,-21.6600426,-69.5349515,Antofagasta,Tocopilla,María Elena,12339.14
Quillón,-36.7443758,-72.4764427,Ñuble,Diguillín,Quillón,406.35
Quillota,-32.879997,-71.2473555,Valparaíso,Quillota,Quillota,301.14
Quilpué,-33.0498135,-71.4415282,Valparaíso,Marga Marga,Quilpué,536.32
Quinchao,-42.5326884,-73.2744747,,,,
Quinta Normal,-33.4282307,-70.6999357,Metropolitana de Santiago,Santiago,Quinta Normal,11.81
Quintero,-32.7840217,-71.5283361,Valparaíso,Valparaíso,Quintero,146.02
Quirihue,-36.2827085,-72.5408101,Ñuble,Itata,Quirihue,589.78
Rancagua,-34.1702433,-70.740718,Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,260.97
Ránquil,-36.6398547,-72.6037277,Ñuble,Itata,Ranquil,247.34
Renaico,-37.671709,-72.5832643,La Araucanía,Malleco,Renaico,265.4
Rengo,-34.4088744,-70.8616583,Libertador General Bernardo O'Higgins,Cachapoal,Rengo,585.26
Requínoa,-34.2848586,-70.8175128,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,677.26
Retiro,-36.0554429,-71.7650623,Maule,Linares,Retiro,826.61
Río Hurtado,-30.452222,-70.6801885,Coquimbo,Limarí,Río Hurtado,2205.05
Rio Verde,-52.9455498,-72.6512719,Magallanes y de la Antártica Chilena,Magallanes,Río Verde,9148.03
Romeral,-34.9599696,-71.1253134,Maule,Curicó,Romeral,1603.35
Sagrada Familia,-34.9990365,-71.3817116,Maule,Curicó,Sagrada Familia,554.16
Salamanca,-31.7804674,-70.9649896,Coquimbo,Choapa,Salamanca,3446.8
San Antonio,-33.5808615,-71.6132377,Valparaíso,San Antonio,San Antonio,399.84
San Bernardo,-33.5922859,-70.7045838,Metropolitana de Santiago,Maipo,San Bernardo,153.87
San Carlos,-36.4248192,-71.9581208,Ñuble,Punilla,San Carlos,876.94
San Clemente,-35.5375459,-71.4858841,Maule,Talca,San Clemente,4501.05
San Esteban,-32.7990544,-70.5795811,Valparaíso,Los Andes,San Esteban,1374.98
San Fabián,-36.6534313,-71.2078734,Ñuble,Punilla,San Fabián,1541.23
San Felipe,-32.750687,-70.7252688,Valparaíso,San Felipe de Aconcagua,San Felipe,187.26
San Fernando,-34.583791,-70.989122,Libertador General Bernardo O'Higgins,Colchagua,San Fernando,2321.84
San Javier,-35.5923933,-71.735308,Maule,Linares,San Javier,1311.36
San Joaquín,-33.4942329,-70.6284983,Metropolitana de Santiago,Santiago,San Joaquín,9.94
San José de Maipo,-33.6403975,-70.3527845,Metropolitana de Santiago,Cordillera,San José de Maipo,4984.74
San Juan de la Costa,-40.4930895,-73.5391077,Los Lagos,Osorno,San Juan de la Costa,1506.66
San Miguel,-33.4859746,-70.6495465,Metropolitana de Santiago,Santiago,San Miguel,9.63
San Miguel de Azapa,-18.5183473,-70.1771824,Arica y Parinacota,Arica,Arica,4802.22
San Nicolás,-36.5034254,-72.2123751,Ñuble,Punilla,San Nicolás,565.53
